Week #,Report #,Report Date,Futures Based On,Unfixed Call Sales,Chg Sales,Unfixed Call Purchases,Chg Purchases,At Close,Chg At Close,Yr,Month,Old/New,Report Year
1.0,2,01/08/2016,March 2016,17397,-7411,7363,413,118767,-5079,2016.0,3.0,old,2016
1.0,2,01/08/2016,May 2016,14968,-525,709,64,32392,-334,2016.0,5.0,old,2016
1.0,2,01/08/2016,July 2016,13562,-808,1418,39,21197,4211,2016.0,7.0,old,2016
1.0,2,01/08/2016,October 2016,0,0,45,0,3,0,2016.0,10.0,old,2016
1.0,2,01/08/2016,December 2016,7438,-245,5899,431,11948,706,2016.0,12.0,new1,2016
1.0,2,01/08/2016,March 2017,3474,-8,0,-409,649,218,2017.0,3.0,new1,2016
1.0,2,01/08/2016,May 2017,866,0,0,0,77,-4,2017.0,5.0,new1,2016
1.0,2,01/08/2016,July 2017,1292,0,0,0,65,0,2017.0,7.0,new1,2016
1.0,2,01/08/2016,December 2017,930,0,1134,0,14,0,2017.0,12.0,new2,2016
1.0,2,01/08/2016,March 2018,887,0,0,0,0,0,2018.0,3.0,new2,2016
1.0,2,01/08/2016,Totals,60814,-8997,16568,538,185112,-282,,,total,2016
2.0,3,01/15/2016,March 2016,15975,-1422,6733,-630,115205,-3562,2016.0,3.0,old,2016
2.0,3,01/15/2016,May 2016,15401,433,838,129,33101,709,2016.0,5.0,old,2016
2.0,3,01/15/2016,July 2016,13923,361,1419,1,22673,1476,2016.0,7.0,old,2016
2.0,3,01/15/2016,October 2016,0,0,45,0,3,0,2016.0,10.0,old,2016
2.0,3,01/15/2016,December 2016,7593,155,5840,-59,12388,440,2016.0,12.0,new1,2016
2.0,3,01/15/2016,March 2017,3575,101,50,50,896,247,2017.0,3.0,new1,2016
2.0,3,01/15/2016,May 2017,850,-16,0,0,133,56,2017.0,5.0,new1,2016
2.0,3,01/15/2016,July 2017,1292,0,0,0,65,0,2017.0,7.0,new1,2016
2.0,3,01/15/2016,December 2017,930,0,1134,0,14,0,2017.0,12.0,new2,2016
2.0,3,01/15/2016,March 2018,887,0,0,0,0,0,2018.0,3.0,new2,2016
